"id","sigla","nome","uri"
"36898","AVANTE","Avante","https://dadosabertos.camara.leg.br/api/v2/partidos/36898"
"36769","DEM","Democratas","https://dadosabertos.camara.leg.br/api/v2/partidos/36769"
"36779","PCdoB","Partido Comunista do Brasil","https://dadosabertos.camara.leg.br/api/v2/partidos/36779"
"36786","PDT","Partido Democrático Trabalhista","https://dadosabertos.camara.leg.br/api/v2/partidos/36786"
"36761","PEN","Partido Ecológico Nacional","https://dadosabertos.camara.leg.br/api/v2/partidos/36761"
"36793","PHS","Partido Humanista da Solidariedade","https://dadosabertos.camara.leg.br/api/v2/partidos/36793"
"36887","PMB","Partido da Mulher Brasileira","https://dadosabertos.camara.leg.br/api/v2/partidos/36887"
"36800","PMDB","Partido do Movimento Democrático Brasileiro","https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"36801","PMN","Partido da Mobilização Nacional","https://dadosabertos.camara.leg.br/api/v2/partidos/36801"
"36896","PODE","Podemos","https://dadosabertos.camara.leg.br/api/v2/partidos/36896"
"36809","PP","Partido Progressista","https://dadosabertos.camara.leg.br/api/v2/partidos/36809"
"36762","PPL","Partido Pátria Livre","https://dadosabertos.camara.leg.br/api/v2/partidos/36762"
"36813","PPS","Partido Popular Socialista","https://dadosabertos.camara.leg.br/api/v2/partidos/36813"
"36814","PR","Partido da República","https://dadosabertos.camara.leg.br/api/v2/partidos/36814"
"36815","PRB","Partido Republicano Brasileiro","https://dadosabertos.camara.leg.br/api/v2/partidos/36815"
"36763","PROS","Partido Republicano da Ordem Social","https://dadosabertos.camara.leg.br/api/v2/partidos/36763"
"36824","PRP","Partido Republicano Progressista","https://dadosabertos.camara.leg.br/api/v2/partidos/36824"
"36829","PRTB","Partido Renovador Trabalhista Brasileiro","https://dadosabertos.camara.leg.br/api/v2/partidos/36829"
"36832","PSB","Partido Socialista Brasileiro","https://dadosabertos.camara.leg.br/api/v2/partidos/36832"
"36833","PSC","Partido Social Cristão","https://dadosabertos.camara.leg.br/api/v2/partidos/36833"
"36834","PSD","Partido Social Democrático","https://dadosabertos.camara.leg.br/api/v2/partidos/36834"
"36835","PSDB","Partido da Social Democracia Brasileira","https://dadosabertos.camara.leg.br/api/v2/partidos/36835"
"36836","PSDC","Partido Social Democrata Cristão","https://dadosabertos.camara.leg.br/api/v2/partidos/36836"
"36837","PSL","Partido Social Liberal","https://dadosabertos.camara.leg.br/api/v2/partidos/36837"
"36839","PSOL","Partido Socialismo e Liberdade","https://dadosabertos.camara.leg.br/api/v2/partidos/36839"
"36844","PT","Partido dos Trabalhadores","https://dadosabertos.camara.leg.br/api/v2/partidos/36844"
"36845","PTB","Partido Trabalhista Brasileiro","https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"36846","PTC","Partido Trabalhista Cristão","https://dadosabertos.camara.leg.br/api/v2/partidos/36846"
"36847","PTdoB","Partido Trabalhista do Brasil","https://dadosabertos.camara.leg.br/api/v2/partidos/36847"
"36848","PTN","Partido Trabalhista Nacional","https://dadosabertos.camara.leg.br/api/v2/partidos/36848"
"36851","PV","Partido Verde","https://dadosabertos.camara.leg.br/api/v2/partidos/36851"
"36886","REDE","Rede Sustentabilidade","https://dadosabertos.camara.leg.br/api/v2/partidos/36886"
"36852","S.PART.","Sem Partido","https://dadosabertos.camara.leg.br/api/v2/partidos/36852"
"36765","SD","Solidariedade","https://dadosabertos.camara.leg.br/api/v2/partidos/36765"
